#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
    131       5.865909   24.613636   17.215909       1           2        0.950888     1.055833   
    132       5.868966    1.758621    2.641379       1           2        0.956534     1.006140   
    133       5.877647    1.767059   15.647059       1           2        0.970474     0.998781   
    134       5.872941    5.049412    9.143529       1           2        0.968176     0.972872   
    135       5.847059    5.091765   22.164706       1           2        0.943943     1.039286   
    136       5.892308    8.336264   10.727473       1           2        0.908068     1.107337   
    137       5.880952    8.328571   23.726190       1           2        0.944842     1.095427   
    138       5.842353   11.616471    4.197647       1           2        0.938546     0.983726   
    139       5.894253   14.795402    2.636782       1           2        0.943593     1.045914   
    140       5.875294   14.781176   15.637647       1           2        0.907018     1.066454   
    141       5.895455   18.020455   22.134091       1           2        0.943643     1.034523   
    142       5.903448   21.344828   23.737931       1           2        0.962030     1.048321   
    143       5.905747   21.344828   10.731034       1           2        0.959382     1.018741   
    144       5.850575   24.597701    4.202299       1           2        0.927504     1.004264   
    145       6.638596    3.449123    1.757895       0           4        0.535127     0.747434   
    146       6.643137    3.474510   14.772549       0           4        0.529331     0.741176   
    147       6.653061    9.910204   18.097959       0           4        0.462028     0.730156   
    148       6.695238   16.390476   14.742857       0           4        0.546270     0.819435   
    149       6.650794   22.907937    5.057143       0           4        0.577948     0.734006   
    150       6.706383    3.412766    8.285106       0           4        0.315830     0.633128   
    151       6.680851    3.357447   21.344681       0           4        0.366145     0.644719   
    152       6.701818    9.927273   11.585455       0           4        0.488410     0.635220   
    153       6.676596    9.970213   24.578723       0           4        0.341812     0.593201   
    154       6.677778   16.414815    1.781481       0           4        0.427153     0.691175   
    155       6.701887   16.430189   21.305660       0           4        0.337365     0.631114   
    156       6.734545   16.425455    8.338182       0           4        0.500651     0.681195   
    157       6.676923   22.950000   11.592308       0           4        0.327772     0.687817   
    158       6.671698   22.932075   18.060377       0           4        0.533479     0.608589   
    159       6.660870   22.960870   24.595652       0           4        0.300491     0.598581   
    160       6.719048    9.966667    5.047619       0           4        0.484862     0.555859   
    161       7.454348    1.860870   22.117391       1           2        0.900773     1.101977   
    162       7.441379   11.480460   23.758621       1           2        0.905869     1.079278   
    163       7.477778    1.775556    9.160000       1           2        0.937247     1.132265   
    164       7.461364    5.079545    2.629545       1           2        0.932701     1.048402   
    165       7.445977    5.039080   15.618391       1           2        0.954685     1.092851   
    166       7.479545    8.259091    4.193182       1           2        0.949988     0.997657   
    167       7.465169    8.289888   17.208989       1           2        0.959882     1.035028   
    168       7.476404   11.559551   10.728090       1           2        0.910116     1.104462   
    169       7.490110   14.745055    9.162637       1           2        0.895876     1.099754   
    170       7.462069   14.806897   22.142529       1           2        0.930102     0.987198   
    171       7.427273   18.009091    2.627273       1           2        0.928603     1.009828   
    172       7.450000   18.064286   15.633333       1           2        0.964978     0.998633   
    173       7.461364   21.284091    4.225000       1           2        0.865747     1.091957   
    174       7.476923   21.268132   17.202198       1           2        0.926305     1.119857   
    175       7.464444   24.526667   10.724444       1           2        0.911865     1.074614   
    176       7.448837   24.481395   23.755814       1           2        0.916362     1.045827   
    177       8.322105   15.633684   13.957895       1           2        0.855854     1.086242   
    178       8.304545    2.609091   13.997727       1           2        0.874941     1.064348   
    179       8.252273    4.206818    7.481818       1           2        0.901672     1.133547   
    180       8.265060    4.231325   20.474699       1           2        0.967476     1.019898   
    181       8.240909    9.159091   25.384091       1           2        0.937497     1.024234   
    182       8.336957    9.132609   12.408696       1           2        0.908168     1.123999   
    183       8.297727   10.706818    5.888636       1           2        0.879288     1.074370   
    184       8.289888   10.721348   18.892135       1           2        0.879088     1.146882   
    185       8.266667   15.640000    1.002222       1           2        0.922408     1.019283   
    186       8.308046   17.211494    7.455172       1           2        0.903221     1.079868   
    187       8.268235   17.207059   20.463529       1           2        0.944992     1.016239   
    188       8.225287   22.165517   12.374713       1           2        0.912914     1.032655   
    189       8.261053   22.166316   25.389474       1           2        0.965778     1.088274   
    190       8.334940   23.751807    5.908434       1           2        0.909916     1.045472   
    191       8.350562   23.746067   18.916854       1           2        0.927804     1.077511   
    192       8.323810    2.640476    0.969048       1           2        0.899624     0.995141   
    193       8.275472    0.196226    9.943396       0           4        0.486911     0.698684   
    194       8.318033    0.190164   22.918033       0           4        0.614422     0.664628   
    195       8.293878    6.685714    3.453061       0           4        0.258570     0.627431   
    196       8.285714    6.695238   16.400000       0           4        0.351106     0.549665   
    197       8.270175   13.161404    9.905263       0           4        0.349457     0.701342   
    198       8.314286   13.157143   22.907143       0           4        0.533678     0.639715   
    199       8.300000   19.717241    3.441379       0           4        0.439594     0.650153   
    200       8.293023   19.767442   16.427907       0           4        0.295045     0.578112   
    201       9.167816    0.977011   11.606897       1           2        0.932201     0.997354   
    202       9.193333    1.017778   24.660000       1           2        0.891279     1.124853   
    203       9.110345    5.910345    5.002299       1           2        0.930102     0.994000   
    204       9.139024    5.858537   18.090244       1           2        0.953586     1.051675   
    205       9.123596    7.453933    1.840449       1           2        0.935798     1.039685   
    206       9.128736    7.462069   14.811494       1           2        0.930852     1.010681   
    207       9.126882   12.400000    8.335484       1           2        0.949739     1.122039   
    208       9.144086   12.378495   21.277419       1           2        0.901822     1.093732   
    209       9.151648   13.978022   11.529670       1           2        0.958083     1.066095   
    210       9.177528   13.982022   24.622472       1           2        0.904320     0.982308   
    211       9.166265   18.843373    5.113253       1           2        0.914363     0.925380   
    212       9.124706   18.884706   18.032941       1           2        0.940695     1.033691   
    213       9.152688   20.477419    1.778495       1           2        0.906369     1.136532   
    214       9.123913   20.456522   14.836957       1           2        0.930902     1.125940   
    215       9.128090   25.404494    8.316854       1           2        0.958433     1.047401   
    216       9.162353   25.367059   21.254118       1           2        0.911315     1.101559   
    217       9.843478    1.813043    0.226087       0           4        0.324624     0.613721   
    218       9.851064    1.800000   13.225532       0           4        0.377987     0.619423   
    219       9.896154    5.038462    6.719231       0           4        0.600732     0.619195   
    220       9.908475    8.311864   13.186441       0           4        0.413012     0.648380   
    221       9.951724    8.296552   26.155172       0           4        0.538325     0.676609   
    222       9.890909   11.552727    6.650909       0           4        0.479616     0.654495   
    223       9.847059   11.564706   19.670588       0           4        0.415361     0.637252   
    224       9.885185   14.803704    0.177778       0           4        0.408665     0.675761   
    225       9.880000   14.812000   13.220000       0           4        0.393076     0.640425   
    226       9.874510   18.015686    6.670588       0           4        0.388879     0.616597   
    227       9.932000   18.040000   19.688000       0           4        0.519838     0.611529   
    228       9.932075   21.290566    0.256604       0           4        0.507946     0.630200   
    229       9.913333   21.316667   13.203333       0           4        0.543771     0.684933   
    230       9.861538   24.589744    6.646154       0           4        0.249776     0.556428   
    231       9.885714   24.579592   19.710204       0           4        0.282204     0.608369   
    232       9.965854    5.043902   19.707317       0           4        0.429801     0.567386   
    233      10.679121    1.026374    1.698901       1           2        0.939995     1.124762   
    234      10.717647    0.981176   14.776471       1           2        0.925705     1.027697   
    235      10.732584    5.914607    8.352809       1           2        0.919210     1.132818   
    236      10.720430    5.911828   21.331183       1           2        0.955135     1.109840   
    237      10.727907    7.448837   11.511628       1           2        0.931501     1.056341   
    238      10.725843    7.453933   24.525843       1           2        0.870844     1.080978   
    239      10.747619   12.390476    5.028571       1           2        0.853756     1.029023   
    240      10.723256   12.388372   18.046512       1           2        0.933200     1.055132   
    241      10.725000   13.970455    1.811364       1           2        0.908967     0.992375   
    242      10.696552   13.995402   14.783908       1           2        0.916812     1.012312   
    243      10.726667   18.888889    8.308889       1           2        0.942744     1.082498   
    244      10.721348   18.892135   21.341573       1           2        0.925106     1.109965   
    245      10.734783   20.454348   11.506522       1           2        0.935149     1.115635   
    246      10.743820   20.451685   24.507865       1           2        0.944842     1.111908   
    247      10.721348   25.388764    5.078652       1           2        0.954735     1.081782   
    248      10.679545   25.336364   18.159091       1           2        0.929753     1.035838   
    249      11.494118    4.256471   18.905882       1           2        0.909467     1.086911   
    250      11.577528    9.157303    0.988764       1           2        0.897425     1.111020   
    251      11.534091    9.134091   13.975000       1           2        0.896875     1.071212   
    252      11.470330   15.606593   12.406593       1           2        0.962130     1.038056   
    253      11.465854   23.748780   20.431707       1           2        0.959182     0.912870   
    254      11.528736    2.616092   12.390805       1           2        0.966177     0.933611   
    255      11.553659    2.651220   25.363415       1           2        0.974172     0.984892   
    256      11.590123    4.212346    5.854321       1           2        0.906819     1.016040   
    257      11.597590   10.684337    7.503614       1           2        0.930252     0.997116   
    258      11.529268   10.729268   20.451220       1           2        0.965028     0.994102   
    259      11.550538   15.632258   25.404301       1           2        0.941644     1.010089   
    260      11.569767   17.202326    5.883721       1           2        0.907668     1.041700   
    261      11.604762   17.188095   18.850000       1           2        0.904170     0.992734   
    262      11.618605   22.183721    0.997674       1           2        0.906669     0.987674   
    263      11.577011   22.170115   13.990805       1           2        0.879188     1.014668   
    264      11.487500   23.750000    7.445000       1           2        0.973922     0.869587   
    265      11.580488    0.160976    3.434146       0           4        0.620818     0.544728   
    266      11.568421    0.259649   16.407018       0           4        0.513892     0.723811   
    267      11.552174    6.626087    9.934783       0           4        0.375439     0.615951   
    268      11.546154    6.726923   22.992308       0           4        0.446889     0.682072   
    269      11.530000   13.153333    3.410000       0           4        0.452685     0.736101   
    270      11.578182   13.130909   16.370909       0           4        0.456682     0.684574   
    271      11.575510   19.677551    9.918367       0           4        0.382184     0.613631   
    272      11.547826   19.721739   22.882609       0           4        0.397373     0.605785   
    273      12.413793    1.871264    4.245977       1           2        0.944692     1.066320   
    274      12.386517    1.793258   17.213483       1           2        0.865897     0.985493   
    275      12.395402    5.006897   10.751724       1           2        0.928054     1.007836   
    276      12.386207    5.009195   23.737931       1           2        0.951487     1.019573   
    277      12.397674    8.327907    9.151163       1           2        0.971573     1.022608   
    278      12.374713    8.296552   22.144828       1           2        0.952337     1.056406   
    279      12.366316   11.597895    2.650526       1           2        0.925755     1.202938   
    280      12.391209   11.549451   15.617582       1           2        0.860101     1.058029   
    281      12.402326   14.811628    4.216279       1           2        0.950538     0.996942   
    282      12.395556   14.793333   17.206667       1           2        0.965078     0.984377   
    283      12.393182   18.015909   10.734091       1           2        0.944792     1.023855   
    284      12.392857   18.007143   23.766667       1           2        0.962630     1.002508   
    285      12.381609   21.266667    9.149425       1           2        0.919460     1.080861   
    286      12.388636   21.338636   22.115909       1           2        0.944592     1.085048   
    287      12.385263   24.532632   15.631579       1           2        0.950538     1.109322   
    288      12.411494   24.468966    2.600000       1           2        0.948839     1.037378   
    289      13.042105    3.431579    5.063158       0           4        0.260269     0.591538   
